Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-11-2022 15:31:52,Mumbai,Male,18-24,Undergraduate degree,Meditation/Mindfulness practice,"Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Gym / Studio,3,3,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don’t think online training is effective,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Not so important,Neutral,Not so important,Not so important
11-11-2022 15:54:31,Ahmedabad ,Male,25-34,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Don't know where and how to start,4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Outdoors,3,4,"Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don’t think online training is effective,Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Important,Not so important,Important,Important
11-11-2022 15:55:29,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Don't know where and how to start,Once/twice a week (e.g. weekends),15-30,Weight loss/gain,Home - with equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I have already tried,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Neutral,Important,Important
11-11-2022 16:03:02,Mumbai,Male,Less than 18,High school,I don't follow any wellness/fitness routine,"Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,46-60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,1,5,"Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Not so important,Not so important,Not so important,Not so important
11-11-2022 16:04:00,Mumbai,Female,45-54,College diploma / Certificate,Yoga & breathing exercises,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine, Lack of yoga center...so prefer walking  atleast 10000 steps .",Daily,More than 60,General fitness/strength/flexibility/stamina,Garden ,5,4,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, Group n frnds  can help you for motivation ",Not more than Rs. 500,Annual subscription with price discount benefits,Neutral,Neutral,Not important at all,Not so important,Not so important
11-11-2022 16:05:22,Ahmedabad ,Female,Less than 18,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),Less than 15,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,3,"Temptation for junk food, Find it too difficult to follow a routine",I am not interested to try,I don’t think online training is effective,Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Important,Neutral,Very Important,Neutral
11-11-2022 16:08:50,Mumbai ,Male,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)",Want a personal trainer but can't afford,4 to 5 days a week,15-30,Body building,Home - with equipment,3,4,Can't cook at home,I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Annual subscription with price discount benefits,Not so important,Not so important,Not so important,Not so important,Not so important
11-11-2022 16:42:25,Mumbai,Male,18-24,High school,I don't follow any wellness/fitness routine,"Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,Less than 15,Weight loss/gain,Home - without equipment,1,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 500 - 1000,Annual subscription with price discount benefits,Neutral,Important,Important,Important,Neutral
11-11-2022 16:44:47,"Jamnagar, Gujarat ",Male,35-44,College diploma / Certificate,Badminton,I follow a regular wellness/fitness routine,Daily,More than 60,General fitness/strength/flexibility/stamina,Sports Club,1,1,I follow a balanced diet routine,I am interested to try out,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not important at all,Not so important,Not so important,Not so important,Not so important
11-11-2022 16:53:48,Gujarat ,Female,35-44,Masters / Post-Graduate degree,Yoga & breathing exercises,I follow a regular wellness/fitness routine,Daily,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,2,4,My schedule doesn't permit regularity in my eating habits,I have already tried,I don’t think online training is effective,Rs. 500 - 1000,Annual subscription with price discount benefits,Not important at all,Not so important,Not important at all,Not so important,Not important at all
11-11-2022 17:03:37,Mumbai ,Female,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",I follow a regular wellness/fitness routine,Daily,15-30,General fitness/strength/flexibility/stamina,Home - with equipment,2,5,My schedule doesn't permit regularity in my eating habits,I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Neutral,Very Important,Very Important,Very Important
11-11-2022 17:04:10,London,Male,25-34,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",Diet,4 to 5 days a week,More than 60,Stress/anxiety reduction and/or attain mindfulness,Gym / Studio,5,5,Find it too difficult to follow a routine,I am not interested to try,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Annual subscription with price discount benefits,Neutral,Neutral,Neutral,Neutral,Neutral
11-11-2022 17:20:59,Mumbai,Male,18-24,High school,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Can't find a good trainer/expert practitioner, I follow a regular wellness/fitness routine",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Temptation for junk food, I follow a balanced diet routine",I am not interested to try,I don’t think online training is effective,Rs. 500 - 1000,Annual subscription with price discount benefits,Neutral,Important,Important,Important,Important
11-11-2022 17:40:53,Bucharest ,Female,18-24,High school,I don't follow any wellness/fitness routine,"Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - with equipment,4,5,I follow a balanced diet routine,I have already tried,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Very Important,Very Important,Neutral
11-11-2022 17:44:22,Mumbai,Female,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,Less than 15,Weight loss/gain,Home - without equipment,1,4,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Important,Neutral,Very Important,Very Important
11-11-2022 17:46:47,Bengaluru,Male,18-24,High school,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,More than 60,Body building,Gym / Studio,5,5,My schedule doesn't permit regularity in my eating habits,I am not interested to try,I don’t think online training is effective,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Very Important,Very Important,Very Important,Neutral
11-11-2022 17:47:40,Singapore,Female,18-24,High school,I don't follow any wellness/fitness routine,"Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,Weight loss/gain,Hybrid - Gym and at Home,3,4,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly",Rs. 1000-2500,Annual subscription with price discount benefits,Neutral,Important,Not important at all,Not so important,Not so important
11-11-2022 18:35:12,Palghar ,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,Daily,More than 60,Weight loss/gain,Gym / Studio,1,4,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Neutral,Very Important,Neutral,Important,Important
11-11-2022 18:45:34,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Want a personal trainer but can't afford,4 to 5 days a week,46-60,Stress/anxiety reduction and/or attain mindfulness,Gym / Studio,4,5,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I may try only if I find something very interesting,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Important,Not important at all,Important,Important
11-11-2022 19:09:42,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,5,5,"My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I may try only if I find something very interesting,I don't have access to right kind of space to practice regularly,Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Important,Important,Important
11-11-2022 20:06:04,Virar,Female,18-24,Undergraduate degree,Yoga & breathing exercises,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,5,"Can't cook at home, Find it too difficult to follow a routine",I have already tried,"I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Important,Important,Important
11-11-2022 21:26:07,Kolhapur,Male,45-54,Other,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Home - with equipment,4,3,Find it too difficult to follow a routine,I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Very Important,Important,Important,Very Important,Important
11-11-2022 21:26:57,Ichalkaranji,Female,35-44,College diploma / Certificate,Meditation/Mindfulness practice,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",Daily,More than 60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Important,Very Important,Very Important,Important
11-11-2022 21:27:56,Vasgade,Male,25-34,College diploma / Certificate,Yoga & breathing exercises,"Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),31-45,Body building,Hybrid - Gym and at Home,4,3,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Not so important,Important,Important,Important
11-11-2022 21:28:39,Ichalkaranji,Male,25-34,Masters / Post-Graduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),31-45,Body building,Home - with equipment,4,4,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Weekly subscription at a price slightly higher than monthly subscription,Not so important,Very Important,Important,Important,Very Important
11-11-2022 21:29:16,Ichalkaranji,Male,25-34,College diploma / Certificate,Meditation/Mindfulness practice,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Very Important,Important,Important,Very Important,Important
11-11-2022 21:30:08,Ichalkaranji,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time",Once/twice a week (e.g. weekends),46-60,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Important,Important,Very Important,Important
11-11-2022 21:31:28,Vasgade,Female,18-24,College diploma / Certificate,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time, I follow a regular wellness/fitness routine",4 to 5 days a week,31-45,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,4,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Weekly subscription at a price slightly higher than monthly subscription,Not so important,Very Important,Very Important,Important,Very Important
11-11-2022 21:32:05,Vasgade,Female,35-44,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),46-60,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Important,Important,Very Important,Important
11-11-2022 21:32:38,Vasgade,Female,25-34,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby",Daily,46-60,Stress/anxiety reduction and/or attain mindfulness,Hybrid - Gym and at Home,3,2,My schedule doesn't permit regularity in my eating habits,I may try only if I find something very interesting,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Very Important,Important,Not so important,Not so important
11-11-2022 21:33:27,Vasgade,Male,45-54,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,2,"Can't cook at home, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am not interested to try,,Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not so important,Very Important,Important,Important,Important
11-11-2022 22:20:35,Mumbai,Female,18-24,College diploma / Certificate,Yoga & breathing exercises,Lack of motivation / time,Occasionally / Rarely,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Temptation for junk food, Find it too difficult to follow a routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Neutral,Important,Important,Important,Important
11-12-2022 10:04:04,BOM,Male,25-34,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",Once/twice a week (e.g. weekends),31-45,Body building,Home - without equipment,4,3,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Very Important,Neutral,Important
11-12-2022 10:05:23,vasai,Male,35-44,Undergraduate degree,Yoga & breathing exercises,"Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,31-45,Body building,Home - with equipment,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Neutral,Very Important,Very Important
11-12-2022 10:06:14,Pune,Female,18-24,Masters / Post-Graduate degree,Yoga & breathing exercises,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,,Rs. 500 - 1000,,Neutral,Important,Not so important,Very Important,Very Important
11-12-2022 10:06:59,pune,Female,35-44,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I am interested to try out,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 1000-2500,Annual subscription with price discount benefits,Very Important,Important,Important,Very Important,Not so important
11-12-2022 10:08:18,Pune,Female,More than 55,Masters / Post-Graduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,46-60,Stress/anxiety reduction and/or attain mindfulness,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits",I have already tried,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Neutral,Important,Very Important
11-12-2022 10:13:19,Pune,Female,35-44,Undergraduate degree,Meditation/Mindfulness practice,"Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,Less than 15,Body building,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Annual subscription with price discount benefits,Important,Very Important,Important,Very Important,Neutral
11-12-2022 10:15:19,Viman Nagar,Female,35-44,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",4 to 5 days a week,15-30,Body building,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Important,Very Important,Neutral,Very Important,Important
11-12-2022 10:16:50,Poona,Female,45-54,Undergraduate degree,Yoga & breathing exercises,"Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,4,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Neutral,Very Important,Important,Important
11-12-2022 10:26:29,kolhapur,Female,Less than 18,Other,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, I follow a regular wellness/fitness routine",Daily,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,5,3,"Temptation for junk food, Can't cook at home",I am not interested to try,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Very Important,Very Important,Neutral
11-12-2022 10:32:25,Kolhapur,Female,Less than 18,High school,I don't follow any wellness/fitness routine,I follow a regular wellness/fitness routine,Daily,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,3,4,"Can't cook at home, I follow a balanced diet routine",I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",More than Rs. 5000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Neutral,Important,Not so important
11-12-2022 13:13:43,Mumbai,Male,18-24,College diploma / Certificate,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,More than 60,Body building,Gym / Studio,5,3,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Neutral,Very Important,Very Important
11-12-2022 14:09:06,Mumbai ,Female,45-54,Other,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner",Occasionally / Rarely,Less than 15,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,3,4,I follow a balanced diet routine,I am interested to try out,I don’t think online training is effective,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Very Important,Very Important,Very Important,Very Important
11-12-2022 16:30:32,Mumbai,Female,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,"Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,5,5,"Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don’t think online training is effective,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Neutral,Very Important,Very Important
11-12-2022 17:14:05,Mumbai,Male,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,2,"I follow a balanced diet routine, I don't care enough",I am not interested to try,"I don’t think online training is effective, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,,Very Important,Very Important,Not important at all,Important,Important
11-12-2022 17:57:17,Pune,Female,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,Occasionally / Rarely,More than 60,General fitness/strength/flexibility/stamina,Sports,2,5,My schedule doesn't permit regularity in my eating habits,I am not interested to try,I don’t think online training is effective,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Neutral,Important,Not important at all,Very Important,Very Important
11-12-2022 19:30:32,Mumbai,Female,45-54,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Find it too difficult to follow a routine, I follow a balanced diet routine",I am not interested to try,"I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Neutral,Important,Neutral,Important,Important
